site,source_url,saved_path,error
https://solatube.se,https://solatube.se/favicon.ico,logos/solatube.se_7573ac8b.png,
https://ford.if.ua,https://ford.if.ua/favicon.ico,logos/ford.if.ua_c5833c04.ico,
https://carlsjr.com.sg,https://carlsjr.com.sg/favicon.ico,logos/carlsjr.com.sg_6c039e8f.png,
https://mcdonalds.md,https://mcdonalds.md/favicon.ico,logos/mcdonalds.md_bfdd3cb8.png,
https://kia-plt.ru,https://kia-plt.ru/apple-touch-icon.png,logos/kia-plt.ru_df6126fe.png,
https://atalian.pl,https://atalian.pl/favicon.ico,logos/atalian.pl_69a9c6ff.ico,
https://secureparking.co.id,https://secureparking.co.id/favicon.ico,logos/secureparking.co.id_3e1a3b33.png,
https://ford.dn.ua,https://ford.dn.ua/favicon.ico,logos/ford.dn.ua_1cbc97fa.ico,
https://autosecuritas-ct-notre-dame-doe.fr,https://autosecuritas-ct-notre-dame-doe.fr/favicon.ico,logos/autosecuritas-ct-notre-dame-doe.fr_e5cb1e33.ico,
https://viacon.no,https://viacon.no/favicon.ico,logos/viacon.no_8cc17fc9.png,
https://medef-corse.com,https://medef-corse.com/favicon.ico,logos/medef-corse.com_aa2b25e8.ico,
https://globalconnectcarrier.com,https://globalconnectcarrier.com/favicon.ico,logos/globalconnectcarrier.com_88fa74ae.png,
https://greatplacetowork.se,https://greatplacetowork.se/favicon.ico,logos/greatplacetowork.se_f999ccdf.png,
https://atalian.hu,https://atalian.hu/favicon.ico,logos/atalian.hu_69a9c6ff.ico,
https://pragroup.pl,https://pragroup.pl/favicon.ico,logos/pragroup.pl_ac24f882.png,
https://fleishmanhillard.ph,https://fleishmanhillard.ph/favicon.ico,logos/fleishmanhillard.ph_6084b7b6.png,
https://adecco.co.th,https://adecco.co.th/favicon.ico,logos/adecco.co.th_1ff875a6.ico,
https://pefc.fi,https://pefc.fi/favicon.ico,logos/pefc.fi_a0681504.ico,
https://toysrus.fr,https://toysrus.fr/favicon.ico,logos/toysrus.fr_b4eea607.png,
https://dysartsservicecenter.com,https://dysartsservicecenter.com/favicon.ico,logos/dysartsservicecenter.com_e4782411.ico,
https://aonsolutions.com.cy,https://aonsolutions.com.cy/favicon.ico,logos/aonsolutions.com.cy_66afedc3.png,
https://kia-crimea.ru,https://kia-crimea.ru/apple-touch-icon.png,logos/kia-crimea.ru_90787395.png,
